Temperature_of_Mass,Jacket_Return_Temperature,Chemical_Reactor_Pressure,Chemical_Reactor_RPM
27.06283513,61.37759451,188.8044273,910
25.40664791,72.67935644,137.0911697,1124
27.70086385,71.85806615,142.3794555,1132
22.07821887,52.6833646,108.623425,963
26.85778731,51.61891126,149.7093155,1022
21.49247327,52.60595668,125.201884,1174
20.5447363,75.59639277,171.1663845,1010
25.96414171,59.3077502,102.4171789,1039
22.1148169,71.80116189,190.7084614,1083
26.3552835,79.33675538,171.1810527,1028
22.66324612,68.34741009,126.6251092,1089
25.42495307,73.78720471,162.7255981,976
25.85597874,51.31588894,150.8239031,1199
24.26011545,64.42367711,144.4038188,1148
26.76548537,65.02896235,191.7940595,1046
25.58094404,71.80555546,173.059146,977
25.21564051,79.8897508,155.5262461,952
27.30121574,74.10023017,144.3173517,1146
25.46664888,54.41575422,138.4266257,1070
21.95034077,76.32564539,126.3551403,1083
27.05736511,69.32607649,146.0410204,903
20.91282713,50.63785471,107.0115931,1001
22.12788589,50.76491795,187.9934203,1139
27.89844028,59.94523137,191.174084,899
21.26537225,56.36570804,109.4156491,938
25.88923166,57.49959409,128.0568267,901
26.9227674,64.42520844,118.3346401,887
24.73886108,68.57022563,109.4481232,1177
27.50400853,64.38545967,129.5419341,1121
22.81764952,54.83524235,198.5966034,1191
21.33639161,59.77752223,149.2288556,1091
26.17768031,64.17104911,135.579293,1070
22.79255887,71.99925616,196.648945,993
21.10121653,52.57111029,132.2335916,1200
22.38475763,73.43732879,148.1519269,1244
25.57288477,51.05744878,163.057171,953
24.335128,70.52442684,100.6908799,1022
21.51492464,71.13728751,188.805203,1242
22.85017783,68.88809135,124.5605452,948
22.39033186,67.2732498,162.8488146,955
26.19391253,64.49117652,176.8339329,935
25.92123793,77.2925367,164.0015152,992
23.10610243,52.38983568,124.7329478,958
25.37602239,61.58501533,115.4699982,1089
27.95005257,55.13693978,162.1884422,1156
22.66596842,54.81615372,193.8121387,899
21.5128091,72.11421128,194.0307108,1111
27.44917035,71.49000106,175.8472064,1024
22.72392887,63.81116123,108.3471093,1026
23.01115215,73.18071948,187.9208732,1012
25.1615829,55.3651395,129.6296406,1226
23.44652736,63.74696427,149.2720299,1149
25.92011679,59.56092451,100.6225382,1217
20.00938222,75.44263475,144.8720305,1008
20.5890928,73.78798683,117.9720783,926
20.42045941,73.48282497,126.5646325,1002
23.75992998,66.78043836,116.393274,1161
27.93921172,77.66372551,185.1109128,1061
21.63285896,61.16905636,150.3010952,988
20.32252257,74.99603654,161.1044946,1117
26.85156916,64.57628263,194.1005989,875
26.27368658,68.19602523,116.9436143,1080
22.09880942,69.97690607,141.308627,894
27.40577215,76.16517878,136.7665184,900
20.30162844,69.94295502,184.4472999,1034
25.19210285,55.45047461,101.08236,876
20.36866045,50.17297842,182.10033,972
23.09268717,53.09284502,122.7109459,1174
25.18619717,63.12981408,179.4628941,1215
22.50303981,68.43776373,185.5781571,1137
20.66721012,75.13867124,103.4964677,1047
22.50118076,71.66974807,100.137955,1023
21.97131281,76.81109752,196.0915718,1174
23.59504992,76.28536727,130.6866093,876
24.75579229,77.83255124,158.169032,1079
20.89348208,50.88321008,163.9570417,1089
26.9384168,53.59242069,191.2916755,1193
24.48495467,64.82114912,120.1269583,1058
23.70901173,68.67354145,126.0582025,967
21.67628794,53.87841393,144.7054319,946
27.00776297,51.93292545,158.2191395,903
20.13078475,79.45165443,140.0298607,1240
25.19624853,74.12349152,164.3073473,1063
25.0572157,50.20882512,188.3464308,1128
27.32496076,75.79571174,153.3897088,1018
23.97792397,64.36447114,194.4883628,1148
21.00119731,74.57441718,139.1872309,1054
24.36715451,73.6481988,160.4070429,1219
26.27995021,72.08194663,119.8349483,858
25.24439967,70.82371483,130.7598006,1221
24.17456714,77.28245247,113.3779035,897
27.05587215,52.7333557,132.3901781,911
20.4450171,79.43949762,173.4699946,1082
27.91270467,56.25030073,178.4629451,855
26.332524,68.23351479,136.4005964,1184
26.59750634,58.32764264,139.5408095,952
25.96967994,50.02544613,168.8150785,892
23.44556401,65.15331166,102.0125506,921
23.9946172,66.69002351,162.2597849,933
26.42195161,60.59433197,110.5212834,1045
27.50316739,63.77310743,136.6027319,1031
24.64504451,54.54749112,130.7827586,950
24.02783297,50.55539559,177.7712966,1013
23.58051641,78.21962929,127.1721367,1111
25.82036079,77.79512757,155.7703006,1241
21.21453542,55.95854702,163.0861883,1245
26.70906395,56.49319002,189.8581179,911
22.25424116,55.64251366,147.7168116,1107
23.74546006,73.47450266,148.0116242,1134
23.90956315,55.29187873,143.7449897,1185
27.91614964,76.83114429,161.2636595,1005
25.12258259,66.98198476,100.7899388,1034
25.55655623,56.04343024,142.7293982,1159
23.78777791,78.76146163,197.4883281,1066
26.42582247,77.695891,199.1464321,1208
26.28489881,74.70785819,156.286144,1017
27.40163155,53.45323416,178.0824189,1203
20.82740808,69.3137543,191.0849281,1190
20.18067326,58.85043591,112.1399633,947
23.06482026,66.25232887,141.9027249,1121
26.90978862,69.95714063,142.8679767,1136
25.52180978,68.23069424,131.6652631,1002
27.1191826,71.79971235,150.0317508,1193
23.3460341,78.20398677,128.0976381,1228
20.07118022,78.4120772,124.5770602,909
26.79271472,56.55553291,107.079193,984
24.91078775,62.71169557,183.1963772,1014
22.37709227,66.51353385,195.0242776,975
23.74551596,68.05858399,178.8632837,926
25.23075673,62.7533588,148.0153079,1023
23.64132662,60.10078341,129.0737753,950
23.00199607,53.09030585,186.8661316,1030
23.06918997,67.90318514,130.3504483,1054
27.80372783,76.04205327,110.0236281,1081
21.52665669,56.69771384,148.8672418,1124
26.59123301,68.89393302,190.0338187,938
21.20240616,60.62078203,187.281183,1102
26.35439672,71.5736203,168.9007122,1191
27.20254689,72.23734455,195.1425632,1109
25.22188332,73.86974539,153.3722185,935
22.84176986,70.13459235,167.9156701,1115
27.30141394,56.90192506,191.9045917,1189
23.98133379,59.44280855,104.9508229,1073
23.54072666,57.6434454,152.8784986,933
25.67935156,57.67110658,190.2518728,1030
24.19699281,54.42719885,180.2451841,1176
20.55491534,51.04550498,144.2244281,1204
26.15542499,78.63510355,149.7853059,1107
26.58955693,61.59351609,194.8709709,1220
20.28754177,53.93949949,153.55651,926
21.42503469,66.53686524,187.3393248,1171
21.93165925,73.76922416,140.3219726,1216
20.14513101,50.95416344,190.4895774,1130
21.21409497,73.61289336,137.5102768,920
27.87795875,60.46074474,138.1303834,937
25.64492582,58.56334332,134.5828734,1146
25.39786046,67.05695084,131.4076348,873
27.32086168,65.10138349,176.0016113,976
23.8140804,76.85871359,169.5763836,1075
24.05987001,76.93429135,150.2221581,1169
20.80260495,78.86288459,117.3482067,1129
21.86506454,59.5861115,121.9357233,1055
24.18077621,72.6562137,145.3191785,1039
20.57763412,71.90506456,190.7260434,1192
27.9722725,65.83523425,193.5645258,1196
26.33760771,79.9023331,150.23384,1060
21.43213221,77.34929636,122.7304321,1052
27.94758906,72.57569773,188.2860223,1210
20.20954068,64.688638,181.6111845,1240
24.21169254,56.62132211,102.3234262,1065
23.35681218,72.69578499,185.5190996,1122
25.94017285,51.94334607,163.2917215,1018
24.80140466,59.93936843,183.5674939,1209
22.8322687,79.32275159,174.6374656,1159
25.60754693,64.01930834,165.575663,934
22.94156499,57.35269443,145.4162033,1056
23.81665599,65.88345616,164.1691499,1241
23.93559894,63.58957059,150.9875343,929
22.17693189,77.678078,166.718299,1028
22.51117362,52.7878335,116.9906528,897
21.38123838,74.94403262,187.7214777,1038
22.92099434,55.72166306,104.7427333,1219
21.70345893,56.41542995,117.3177233,1177
25.3467211,70.32485086,127.2373135,980
26.52430809,70.22480031,100.3634252,1210
25.66782247,52.18608095,190.5580979,993
21.62298353,72.28691186,196.1280772,875
21.10923239,58.5298429,115.511212,1178
21.99349212,57.9322549,154.2987937,1249
25.975113,70.38686566,154.6126992,859
24.95443029,71.5795084,107.1106271,961
27.78178336,55.57263842,132.7827678,1099
20.45619449,73.48541514,146.9458281,1193
26.33153061,59.88285638,195.8678232,924
21.97927861,65.40417752,155.6726611,887
23.67391492,50.46031768,186.5540224,1081
23.04225658,52.23846534,132.7966946,913
25.02360379,61.76697404,107.9233715,1089
21.04497823,56.43868632,154.7014465,1247
20.01469794,60.46872119,151.5693071,1162
24.59907694,67.37509028,186.6313964,1187
25.3749311,66.05980943,176.4934346,1200
21.83641861,57.09514857,110.0937015,885
22.35869741,50.25853423,104.9676971,976
25.27039911,74.37973582,192.815523,1071
25.46909004,52.69198185,153.5585202,1006
23.98134553,56.38674866,181.2878854,1181
21.72172255,72.1527464,121.186748,1146
20.86065585,54.41994836,162.074563,1109
20.39075842,76.36450292,119.5285647,1086
26.31908083,67.83884783,105.2197949,1214
26.5485886,76.58332882,100.2974012,938
24.16869619,55.85763648,160.1497522,1158
20.99954391,64.08302031,103.3621327,1043
22.18367825,79.97344844,189.5136294,1015
24.82654228,79.81707079,145.2848859,886
22.08745935,56.0836689,141.6157403,1133
23.64681493,76.20133547,148.4883377,1163
27.23008828,70.45852707,174.8709611,1121
21.85281176,55.0493702,190.5106378,1037
22.27548418,77.22794306,124.7287744,852
24.34424355,55.08535084,123.5245267,900
22.70390726,73.46685981,151.9273484,1087
23.3748965,55.63727813,185.9654089,1037
20.7231816,67.37493382,180.9493544,951
20.18036388,51.79379398,199.9776372,1125
22.29075306,67.63428736,156.9275297,1109
27.96065481,55.69900657,138.0504145,1101
24.86512334,75.96349936,107.5749488,962
25.29146973,50.50579497,172.6419089,1083
22.57351643,78.16109083,138.9333044,1028
27.27320361,78.16472174,165.5337425,1040
20.84237072,70.32406019,167.269995,1173
27.13880885,77.46557936,189.6428822,1073
20.88552306,55.47211194,135.6764357,1101
23.15288297,56.35477162,149.9640204,1125
27.33208216,69.70230533,188.0947369,1002
23.30100296,51.15227195,174.1544683,1107
21.2619486,65.46885396,131.9028118,929
26.32421609,76.7827995,141.479967,910
21.08864456,55.61459737,141.615223,858
24.47833901,59.78040816,114.6940953,1182
27.96408539,58.67304518,114.3092703,958
25.07291799,52.00606293,121.6914187,865
22.55347651,58.29713092,112.1185459,1005
25.98401424,74.45456118,198.1600639,1097
20.80181976,78.75314918,181.6782051,1082
22.61555581,72.30463129,134.1357757,1098
26.91792463,69.20444703,134.5665173,1008
22.24143085,75.36157121,100.0568402,1166
27.54212978,74.90599427,173.4313099,977
22.84591946,54.23434125,139.3466951,970
26.38822663,62.51787509,158.8485289,894
24.33562203,69.67338654,107.4563464,871
22.54228888,70.39294131,197.5625333,865
27.55951417,59.85732641,114.0844356,1093
22.30716119,53.40795006,163.5614066,1034
27.10271425,53.01981469,122.9044405,869
21.60352976,57.67564466,193.8112707,1049
27.3443987,66.51251134,156.5382021,1180
20.39537033,65.55190738,192.0476758,961
25.24836943,65.25172323,185.369804,1047
22.06234896,53.55148495,172.2677057,1004
20.29447812,61.82565287,151.8085471,1031
26.1383955,65.86779517,134.8869066,993
23.68869647,66.45639672,164.9168333,955
20.4387265,68.7145402,146.8638333,1080
23.84291384,65.99539134,130.1563141,931
25.13452549,78.33577774,164.35532,956
24.52883858,50.36307656,179.2012637,981
25.63303113,54.79292719,152.0960858,1191
26.5592164,64.57440236,104.690438,1133
27.9386258,61.23792108,135.5684284,886
22.85732932,64.01408524,110.5797125,1113
27.56268857,61.31568392,187.3434569,911
22.28297784,76.05338434,110.9500233,927
23.32243578,67.31805081,124.9422989,1164
25.89750788,63.40453877,128.848574,955
20.89814209,74.35967915,101.6792517,1178
23.1672988,58.77515054,163.6299568,1205
26.65659129,74.13171744,148.1672594,1188
26.93368468,71.92071596,143.9039259,1058
25.22451674,65.24744539,124.6756471,1039
26.22013123,73.62620035,159.7453607,920
20.22816693,79.15115014,135.1291067,1183
20.71834288,53.40727135,185.9092892,942
27.66332313,62.08311785,188.6723501,1204
25.55220381,75.32598183,193.0468726,952
25.62140828,63.87564305,180.3713585,1227
20.98831323,58.44288978,175.4091874,884
20.00873359,65.89832064,144.0083999,956
20.22333305,52.30949935,123.8858679,980
24.64075365,71.97823634,183.6401858,899
23.03035405,59.93759898,184.6743364,1154
20.31235808,75.66711936,171.3150732,882
23.5905291,64.76452124,137.4570254,1217
27.13162391,61.8702142,140.8490231,976
22.6997488,54.45473026,116.9811999,1145
26.13012917,64.02820338,134.5407867,1055
21.2769442,74.98515807,196.3082595,1108
25.25127119,68.55405937,107.2825916,972
23.87589756,56.90550094,139.352767,938
27.63177972,64.05774496,198.4329774,1221
27.52501263,60.12058132,144.3805919,1200
25.38439084,69.37092665,137.5610328,908
27.52035846,55.3268878,117.278003,1200
20.25987791,66.10602543,191.1963555,1098
24.78209581,65.0208664,189.2284003,1223
23.83554392,73.74461159,165.2828035,1205
26.17503244,63.22566156,136.7290463,912
21.10932314,50.13977174,124.7757414,1117
20.66871268,74.4083041,196.3788113,901
24.55516344,60.5845108,107.1722907,1226
26.46774866,63.48458378,129.6331251,1023
24.24222917,53.27938244,190.4530287,1245
26.17187813,71.76108934,195.7705913,1201
27.39038026,70.4427644,114.6906258,1200
25.71851484,70.9306454,123.4529298,875
27.94395087,70.59429298,163.0573912,865
22.26924217,63.83475435,158.7170225,1172
27.61161455,68.22772116,191.682767,1142
26.67192516,52.88198227,135.9506849,860
21.76831645,53.1164692,152.740252,1043
24.84983898,73.47325754,158.7678816,994
27.66526601,63.86184183,187.1493502,1178
26.70323833,78.99301651,100.2309568,948
22.57762181,56.419646,188.7712184,914
25.31836033,73.258341,163.0145245,1147
21.40626248,63.90066541,149.8661751,1037
24.45272851,54.88357636,114.6398041,1015
24.34688749,51.35228913,158.2189711,972
27.60351482,50.03576971,121.1972822,988
23.57707335,72.88300171,176.5620098,1148
25.24669615,53.63659548,127.0835938,941
24.85148549,62.78935718,194.1789849,913
27.09040858,69.07485158,180.9457191,976
24.49919855,54.25806383,162.7904641,978
25.63402545,58.55982062,113.1148278,1150
21.84680639,57.7433966,152.7502913,1136
26.05400812,52.0672169,128.6357013,1245
23.98485865,60.17320723,131.5046344,960
23.41301876,55.01022189,128.5620888,857
26.4248127,72.75741769,150.600568,1080
20.27512023,54.97775877,198.3021005,1105
23.44228554,57.16476013,197.4174426,1089
22.64027824,79.19608069,123.7454223,1223
24.68198336,64.54812416,154.7102927,860
24.79000321,53.36132397,112.2326582,880
23.47180409,77.94834968,171.5227617,1025
27.48128189,72.42295411,133.0084339,1134
23.05712376,78.40837667,152.5091106,1104
23.75062506,58.58191591,143.4607674,897
23.32771298,55.15832833,166.5882654,981
22.71588168,71.27749103,123.0161392,1228
23.22005981,67.30139163,165.3300771,1209
23.92574366,75.22352964,143.8430431,1071
23.76904292,54.72652509,153.5970388,1205
21.3809163,75.9691119,106.54227,939
25.99469575,52.70523671,114.7720823,1138
22.83689231,56.17718234,165.5595062,877
21.19929021,57.59965859,188.7625883,984
22.55685963,66.64548307,149.8696078,1094
26.06373516,72.82447384,197.4931975,1010
21.55816097,52.87233559,111.306678,1091
25.66941309,61.07626818,196.098524,1158
20.52074233,70.81780522,148.8028614,1000
25.71465652,72.74983285,160.9150426,1038
24.5899647,55.47686368,174.7288767,932
22.67756376,53.94472146,176.7415114,1010
23.32397071,67.84253965,107.3553681,937
20.33859342,71.65970327,165.7214761,1176
20.72641332,58.89694748,168.6753745,1161
26.22641513,75.09679941,148.5337764,1162
23.34517363,62.60875113,162.6159098,1186
25.15791845,75.80397625,156.7430819,874
20.78511306,72.88722296,114.1865724,857
20.10795361,63.28268288,149.5163137,1213
22.60153466,56.39909762,139.130386,941
20.90729404,72.32097877,149.6831331,1187
25.38827699,62.58872877,168.9088141,1005
20.60410282,52.80693263,152.0351952,904
21.27139514,52.1085636,120.931542,1247
22.98364634,51.31456164,118.1372745,872
21.63065751,66.22589969,132.413995,1212
22.68798098,66.18771311,174.3552651,1247
27.34648238,67.1041361,148.6096419,1058
26.78399594,77.0346932,125.9585271,1102
21.02213712,60.37885445,141.9319243,1247
24.52003064,77.15840266,122.8168835,1210
24.2067459,58.16935477,136.238945,875
20.83679448,75.36558806,170.173313,870
20.54112286,58.32023743,159.7806743,993
21.52761341,71.07939909,113.9655869,933
26.04738372,69.77243873,124.2404619,1024
22.57792237,72.29243128,144.015371,854
25.35758579,60.4823856,143.1880588,920
24.60637696,50.91977377,177.0167664,1077
24.93858155,64.49040746,118.2250529,1032
21.93944729,69.60512985,150.3743694,884
24.47900426,51.16637051,191.2423715,950
25.59983668,56.0252185,145.5915263,1140
26.87132912,57.22909643,131.6549148,919
25.44224557,74.8219079,183.7043292,1164
21.28439223,53.81886265,138.0584765,994
26.78412716,59.30353817,187.9193257,942
25.39399936,75.24176102,194.9406817,1043
25.42576515,60.71271724,144.5902544,953
23.9333192,63.02398579,133.1530506,945
22.88073,58.27452381,197.3298431,883
23.67137046,60.30695247,149.0161582,996
26.76563515,73.90774998,162.8042336,959
24.47346675,60.27855239,120.1019243,987
20.39095331,61.42389143,199.8801527,964
27.43053109,69.56808027,193.6811624,1010
20.814678,69.28054524,151.78257,945
27.6071899,64.32672967,133.9823995,1077
22.7604576,67.66769805,121.5332096,1223
23.30841063,63.77649595,175.8782955,929
22.58509208,66.19564984,122.3983343,909
21.10052632,76.80786778,153.8845995,1185
20.51453728,67.8645901,106.7536775,1213
26.47250906,72.67457956,103.1383691,883
20.35883611,63.08213659,123.0097686,857
22.7898702,50.25286339,182.9312492,927
26.79659962,75.54819135,179.0933794,1249
25.65273054,60.99136964,153.6771439,999
24.4351896,72.98121262,155.2904996,929
26.58257393,75.65921843,147.4198957,941
24.79617366,73.15838134,157.2474411,1207
27.4293957,53.00692862,177.6108044,1213
24.9727089,68.52950671,156.0948183,906
20.50118696,79.47212161,140.0680373,1240
23.94606048,67.3498925,104.9210639,976
24.76838006,72.94783005,123.4846046,852
25.41005991,53.84039328,182.3351193,1161
22.65727005,63.67321272,151.8204529,1225
21.73752535,68.50041899,141.6332171,1064
20.43961866,59.4110528,131.320538,1196
25.71531129,61.2751856,194.9313365,892
25.13788782,51.28511139,186.4861924,998
21.1040195,71.36941103,148.9249471,985
25.15615671,60.68298995,140.2868612,877
27.73302738,77.9216842,133.6678514,1070
21.61015151,56.95921952,140.7653721,1247
26.38803746,52.50294281,165.3772793,1153
24.40656419,61.26535905,131.2304769,966
20.4796679,58.01046367,177.5265577,1031
21.31868973,67.01742908,173.1263279,1068
24.27768166,63.11132861,152.2040331,1094
22.79222748,72.3226592,150.9404053,1215
27.04984149,75.85409117,175.7215826,872
20.24123181,72.43703546,153.3202922,871
20.03941266,72.443261,112.5080414,1016
23.54826494,58.21774555,154.1321989,1153
22.05971574,74.89581682,127.2268767,1206
21.89514719,51.8055437,145.5840125,1202
22.82580958,63.29937222,165.54539,883
23.20149419,53.54960472,119.6630728,967
20.19975837,50.75922317,194.8333314,1201
23.5466121,62.2721125,115.4160701,1131
27.03567219,55.80376434,172.0288449,1005
21.32897327,53.05907103,139.3239066,946
21.23873995,75.64200979,164.8968327,977
26.63708316,56.32633517,181.5879047,904
26.56765308,69.32177699,127.8192992,1143
26.73854304,58.2636523,124.0747804,1212
21.29648399,51.92032548,138.533407,1190
22.74195279,75.1518869,117.1649726,1123
27.77620502,64.53108824,183.7282663,958
21.2061451,66.47406936,101.9433511,1056
21.55193592,62.00593689,141.8694566,1098
25.87238366,52.88138409,177.6256977,1222
21.59989319,54.70066839,113.4074861,854
24.93106531,79.3582062,106.452212,1012
22.84972343,58.74409618,199.4496991,879
24.17299135,71.28777404,114.9955547,878
26.87817734,55.80871799,155.7621707,1031
27.60540379,53.45371799,109.7557031,1077
23.04328753,72.0835778,116.6642937,853
21.10384398,73.19181559,163.2623061,1183
26.29811371,54.71131289,146.5994591,948
25.10936308,74.5484333,198.3252581,968
23.96538169,77.63640026,181.6040273,1084
20.835721,72.90805399,159.6157724,935
24.45403605,79.42795851,124.6630516,1121
25.14931159,69.99882605,108.6073772,1215
25.46726174,61.47699911,117.7250976,860
22.83533372,50.95298788,155.4552993,861
22.79311263,78.46270917,153.9997335,1014
22.94282537,53.63286791,135.2490844,1197
21.22354169,59.16947455,198.317145,1095
25.10273048,66.85821475,176.4440972,960
24.86824107,72.68460731,199.304068,1164
22.87699497,64.03267795,158.3907355,878
26.26111925,71.17055575,189.6514479,1052
24.29954444,71.84912497,141.0002627,1159
24.00042412,52.55931394,171.7759469,1098
23.41010723,51.36363735,143.5820725,951
22.8298673,66.35428324,193.0822883,1154
25.52370796,60.70883779,121.9485627,1220
20.13678782,55.1272788,183.0061393,915
22.64491974,50.98528345,133.764703,979
26.90252832,54.05486182,149.1733732,1001
25.97712823,67.95156117,199.5131672,1229
26.79009772,79.41867336,179.6030732,1214
20.16713648,71.58205494,186.2407239,1111
27.84124709,72.59661974,142.9993447,881
24.89950335,65.54908279,134.5664843,1086
22.42982833,77.06335587,192.5634506,901
20.3265185,54.05423074,100.467996,851
23.13822271,66.36943323,186.6643352,1204
20.18127267,56.56190111,136.4991482,992
27.55263108,67.67027701,166.5241141,1117
21.54332625,72.32257356,198.6214678,1230
20.20608715,76.79908756,127.7074232,1028
22.64216531,57.67468517,160.2157827,1089
21.34034602,55.31249674,166.8120358,1119
20.64699198,55.55570888,164.8436927,939
25.68816281,69.33698792,166.6505648,1174
24.29905958,76.90126849,177.5285578,989
21.12294493,61.53712934,125.4876067,1056
22.25227451,67.74398345,180.3529874,1049
21.20283294,70.4656251,140.0417571,1173
26.22905943,78.45658274,119.2618193,952
24.21393958,57.36848713,123.3122599,1058
25.18349805,51.96726595,116.0107261,947
21.33457901,77.15040616,166.3903863,890
23.7055291,57.94809973,198.1331576,974
22.81715691,78.72251305,116.446102,1026
22.52633175,66.15482521,149.1943181,1107
25.91446623,75.71780887,174.4980953,1173
25.24558587,67.36548051,129.1554588,1180
23.8634569,73.71247555,122.8294628,1017
20.86839154,75.95433767,111.8452265,924
22.10941335,76.32098056,155.2416153,1181
24.28159204,78.93831131,134.1277051,1245
26.41923113,56.99256409,195.0218862,1175
23.53720036,75.97731033,184.2751132,1163
27.66632636,67.49146678,171.3670559,1056
27.66675565,59.13195769,142.2907094,1154
23.70811042,61.3938481,100.4830681,901
27.01713383,64.90922197,160.9185769,1169
20.26706794,70.7478217,156.8744306,1249
21.71137223,58.09663855,146.3667884,920
22.19746094,74.64371364,154.2306634,1191
23.38172197,78.05910394,151.24449,1115
20.9152707,77.59973183,176.8933123,1212
27.09102006,63.08219847,148.3125902,1195
23.88502335,67.4671284,178.8619227,1076
22.52531278,76.0513702,135.2415584,1154
25.63269827,78.19045774,149.8228754,954
22.2483411,53.91256924,116.2283202,1213
22.41968416,58.93306652,148.0184542,1161
26.34242291,68.36003326,192.176949,933
20.51462064,50.88007844,175.4511948,1180
25.98750545,74.56492447,177.9323098,1060
23.81773982,62.53627121,164.1983335,937
20.1135552,63.5616224,118.6260619,1000
25.70922002,69.58817405,131.8684146,994
20.29020449,57.62517734,118.114914,1049
26.59111707,53.71116565,196.9400648,874
22.71526923,67.64891404,193.3804822,935
23.80480213,76.76481821,123.4708533,1008
20.2576062,72.89465295,180.2710314,1247
21.70289661,73.46861101,172.3769816,1211
25.19007739,56.52276768,115.2338807,875
27.42025538,59.38903091,109.6801626,1014
21.12329538,50.31076825,129.8107258,852
23.26318313,79.10177057,124.8956316,889
22.17336377,70.35460642,192.9148171,952
22.7094488,76.15740826,141.8737979,1247
24.47591068,51.89316957,106.480975,866
27.36501055,62.8999881,178.0887552,1021
24.42341404,70.50970401,140.5783396,1241
25.17520103,58.91553357,171.8816615,1021
27.79103103,58.2633818,128.2354336,1066
24.64435015,76.54849466,190.1121439,878
26.32549591,64.63747491,149.0504185,876
22.48172781,58.2038652,100.3259984,1238
24.53797461,79.33838967,174.4671619,986
21.9885512,63.97688234,185.4046474,1188
24.00675767,69.4482648,127.5568238,1075
25.07128013,65.42043997,167.8317592,931
26.34286759,62.45165497,143.9760664,957
24.67802961,62.81300917,187.407911,1047
25.32217836,55.24827378,125.3254383,1243
27.11938448,77.7880821,124.6616621,1213
27.3091954,68.4427635,119.514985,1235
21.18860374,52.73112349,179.714325,1192
25.58980987,70.6221283,196.1449368,1108
22.17788313,67.42620886,144.0932064,1168
27.81132466,78.51448384,193.3347404,992
